Date,Open,High,Low,Close,Adj Close,Volume
6/10/2021,1612,1630,1591,1612,1610.246094,5362307
6/11/2021,1615.099976,1620.099976,1575.25,1601.599976,1599.857544,5355387
6/14/2021,1441.449951,1529.949951,1201.199951,1501.449951,1499.816406,43530006
6/15/2021,1550.949951,1572.599976,1477.199951,1538.849976,1537.175781,22320542
6/16/2021,1510,1538.199951,1409.300049,1448.300049,1446.724365,12626149
6/17/2021,1380,1436,1303.5,1367.699951,1366.211914,27926070
6/18/2021,1350,1504,1332.550049,1487.5,1485.881714,30526777
6/21/2021,1490,1582,1444.849976,1540,1538.324585,21101083
6/22/2021,1554.050049,1582,1531.800049,1541.599976,1539.922729,12069983
6/23/2021,1560.099976,1569.949951,1481.300049,1504.75,1503.112915,12679703
6/24/2021,1509.949951,1519,1488.050049,1508.5,1506.858765,7261764
6/25/2021,1525,1534,1501,1519.449951,1517.796753,4962963
6/28/2021,1524.900024,1565,1518.199951,1525.75,1524.089966,6178022
6/29/2021,1526,1548.699951,1513,1523.550049,1521.892456,5551918
6/30/2021,1539,1539,1502.699951,1507.550049,1505.909912,3256147
7/1/2021,1509.550049,1522.550049,1482.900024,1490.25,1489.616821,3759914
7/2/2021,1490.25,1507.699951,1411.550049,1422.050049,1421.445801,6653653
7/5/2021,1427,1443.949951,1350.599976,1394.349976,1393.757446,12239845
7/6/2021,1400.900024,1444.150024,1378.75,1414.800049,1414.198853,9485434
7/7/2021,1420,1437.099976,1385,1425.650024,1425.044189,5549751
7/8/2021,1420,1445,1411.800049,1425.900024,1425.294189,3898830
7/9/2021,1425.900024,1456.599976,1416.449951,1431.349976,1430.741821,4502324
7/12/2021,1442,1447,1414.150024,1420.699951,1420.096313,2557189
7/13/2021,1433,1433,1385.199951,1417.699951,1417.097534,4157955
7/14/2021,1449,1449,1397.800049,1402.050049,1401.454346,3859529
7/15/2021,1399,1429,1393.400024,1407.949951,1407.351685,2728305
7/16/2021,1409,1415,1388.25,1395.5,1394.906982,2134914
7/19/2021,1390,1412.650024,1332.75,1380.599976,1380.013306,6190302
7/20/2021,1340,1382.900024,1336.099976,1365.699951,1365.119629,4529933
7/22/2021,1375,1424.900024,1340.5,1416.75,1416.147949,5009804
7/23/2021,1430,1434.849976,1386.199951,1401.650024,1401.054443,4694140
7/26/2021,1399.800049,1416.800049,1392,1403.900024,1403.303467,2054318
7/27/2021,1403.900024,1424.599976,1378.150024,1396.75,1396.156494,2978042
7/28/2021,1406.849976,1424.800049,1378.599976,1399.900024,1399.305176,3188606
7/29/2021,1413.949951,1425,1397,1400.25,1399.655029,2538248
7/30/2021,1409.5,1449.5,1400.25,1420.25,1419.646484,4403219
8/2/2021,1435,1445,1424.099976,1438.199951,1437.588867,2483790
8/3/2021,1467,1467,1422.199951,1442.800049,1442.187012,4442122
8/4/2021,1460,1460,1423.050049,1429.550049,1428.942627,3341801
8/5/2021,1428,1438,1407.400024,1432.349976,1431.741333,2104359
8/6/2021,1422,1555,1422,1536.650024,1535.99707,14250256
8/9/2021,1546.699951,1565,1482.5,1493.400024,1492.765503,6031426
8/10/2021,1488,1498.650024,1426.050049,1446.5,1445.885376,3581449
8/11/2021,1455,1456.599976,1407,1437.050049,1436.439453,3197412
8/12/2021,1443.599976,1458,1430.25,1442.900024,1442.286865,2455443
8/13/2021,1445,1454,1428,1437,1436.389404,2095991
8/16/2021,1431.5,1449.699951,1413.550049,1430.099976,1429.49231,1909352
8/17/2021,1431,1451,1416.199951,1441.650024,1441.037476,3062815
8/18/2021,1441.900024,1496.800049,1432.599976,1460,1459.379639,4738820
8/20/2021,1438,1482.650024,1411,1430.099976,1429.49231,4933377
8/23/2021,1415.050049,1427.75,1361.550049,1396.699951,1396.106445,4866080
8/24/2021,1407,1448.400024,1390,1437.800049,1437.189087,3362312
8/25/2021,1444.25,1481.800049,1425,1475.349976,1474.723022,5361140
8/26/2021,1482,1494.650024,1460.400024,1475.699951,1475.072876,4678919
8/27/2021,1475,1515,1474.099976,1506.050049,1505.410156,5164477
8/30/2021,1513.75,1527,1493.300049,1516.550049,1515.90564,3149863
8/31/2021,1517.300049,1596.849976,1512.800049,1587.599976,1586.925415,7234384
9/1/2021,1594.900024,1600.849976,1561.5,1565.199951,1564.534912,3056760
9/2/2021,1571,1594.300049,1565.5,1570.550049,1569.88269,2171898
9/3/2021,1578.5,1581.400024,1551.550049,1565.550049,1564.884766,1687999
9/6/2021,1572,1628.449951,1566.050049,1582,1581.327759,5562312
9/7/2021,1585.099976,1592.349976,1553,1558.099976,1557.437866,1651169
9/8/2021,1559.900024,1579,1538.25,1555.949951,1555.288818,2084219
9/9/2021,1561.599976,1565.5,1535.050049,1545,1544.343506,1243149
9/13/2021,1548,1557,1525.25,1532.449951,1531.798828,1759456
9/14/2021,1539.900024,1547.25,1497.050049,1513.199951,1512.557007,7143757
9/15/2021,1524,1545.599976,1496.900024,1516.800049,1516.155518,12834337
9/16/2021,1523,1535,1499.75,1503.199951,1502.561157,7616906
9/17/2021,1503.199951,1525,1465.75,1480.25,1479.620972,3329954
9/20/2021,1464.900024,1488.5,1409.949951,1418.849976,1418.24707,2273312
9/21/2021,1420,1446.949951,1381.349976,1441.449951,1440.837402,2682157
9/22/2021,1435,1462.650024,1424.349976,1437.75,1437.139038,1663858
9/23/2021,1453,1480,1441.099976,1474.349976,1473.723511,1622616
9/24/2021,1483,1516,1455,1461.699951,1461.078857,2760295
9/27/2021,1462,1544,1462,1531.25,1530.599365,4737676
9/28/2021,1557,1557.900024,1475,1487.300049,1486.668091,3547971
9/29/2021,1466.300049,1498,1464.300049,1485.650024,1485.018799,1764350
9/30/2021,1484.699951,1519,1463.349976,1468.099976,1467.476196,2072145
10/1/2021,1465,1468.75,1422.650024,1458.699951,1458.080078,2311858
10/4/2021,1471,1531,1460.099976,1526.650024,1526.001343,3209302
10/5/2021,1515,1557.849976,1512.349976,1527.650024,1527.000854,2544835
10/6/2021,1529.800049,1541,1472,1479.550049,1478.921387,1777998
10/7/2021,1502.849976,1535.75,1490,1520.75,1520.10376,1919106
10/8/2021,1522,1569.449951,1511.449951,1547.900024,1547.24231,2646112
10/11/2021,1553,1563.699951,1532.150024,1539.75,1539.095703,1910095
10/12/2021,1539,1566.900024,1514.5,1554.449951,1553.789429,1900749
10/13/2021,1568.449951,1608.300049,1551.300049,1569.699951,1569.032959,3923958
10/14/2021,1580,1656,1574.800049,1646.349976,1645.650391,5256882
10/18/2021,1672.949951,1672.949951,1608.550049,1615.5,1614.813599,3791222
10/19/2021,1625.199951,1637,1562.050049,1569.449951,1568.783081,1822638
10/20/2021,1574,1607.349976,1539.099976,1589.699951,1589.024414,2768997
10/21/2021,1601.949951,1626.849976,1581.699951,1595.050049,1594.372314,3129269
10/22/2021,1595.050049,1608.800049,1537,1543,1542.34436,2580699
10/25/2021,1545,1551.400024,1494.050049,1532.199951,1531.548828,2276050
10/26/2021,1532,1557.25,1520.900024,1543.849976,1543.19397,1661783
10/27/2021,1548,1581.150024,1540,1566.550049,1565.884399,2121282
10/28/2021,1550,1566.900024,1367.699951,1398.550049,1397.955811,7093354
10/29/2021,1400,1454.800049,1377.75,1423.599976,1422.995117,3165141
11/1/2021,1436,1457,1411.199951,1445.300049,1444.685913,1543436
11/2/2021,1455,1489,1452.800049,1472.800049,1472.174194,1667692
11/3/2021,1474,1501,1464.449951,1485.900024,1485.268677,1710819
11/4/2021,1495,1511.5,1483,1489.449951,1488.817017,272261
11/8/2021,1495,1575.150024,1485.650024,1568.25,1567.583618,2565017
11/9/2021,1555,1659,1554.949951,1635.449951,1634.755005,4713708
11/10/2021,1625.550049,1686,1620.400024,1655.849976,1655.146362,3728328
